,ID,Sex,Age,Height,Weight,ColdSens,ColdExp,Workhr,Coffeeintake,location,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480,sd.Solar_480,mean.hr_5,grad.hr_5,sd.hr_5,mean.hr_15,grad.hr_15,sd.hr_15,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_5,grad.WristT_5,sd.WristT_5,mean.WristT_15,grad.WristT_15,sd.WristT_15,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.AnkleT_5,grad.AnkleT_5,sd.AnkleT_5,mean.AnkleT_15,grad.AnkleT_15,sd.AnkleT_15,mean.AnkleT_60,grad.AnkleT_60,sd.AnkleT_60,mean.PantT_5,grad.PantT_5,sd.PantT_5,mean.PantT_15,grad.PantT_15,sd.PantT_15,mean.PantT_60,grad.PantT_60,sd.PantT_60,mean.act_5,grad.act_5,sd.act_5,mean.act_15,grad.act_15,sd.act_15,mean.act_60,grad.act_60,sd.act_60
1776,5.0,0.0,24.0,1.73,52.0,3.5,3.0,7.0,0.0,1.0,25.085,0.01,0.035355339,25.085,0.01,0.035355339,32.5,0.2,0.707106781,32.5,0.2,0.707106781,1.8,0.0,0.0,1.8,0.0,0.0,507.5,9.0,31.81980515,507.5,9.0,31.81980515,60.81395349,-2.380779301,5.478617153,68.54358974,-1.57870082,9.627408886,68.54358974,-1.57870082,9.627408886,30.81166667,0.011714286,0.041190614,30.67769231,0.025274725,0.143825928,30.67769231,0.025274725,0.143825928,24.95,-0.102285714,0.192145778,25.15846154,-0.047967033,0.250693909,25.15846154,-0.047967033,0.250693909,22.29833333,0.578571429,1.123857939,21.50846154,0.19532967,1.09380716,21.50846154,0.19532967,1.09380716,9.4475249266,-0.1364994822,0.4786931829,8.7738153847,0.08217646090000003,0.6259141044,9.361201607499998,-0.048160621500000014,0.6061298104999999
1777,5.0,0.0,24.0,1.73,52.0,3.5,3.0,7.0,0.0,1.0,25.41909091,-0.031830295,0.605911785,25.54,-0.021986528,0.60160043,35.36363636,0.200140252,3.748939244,34.5,0.145803109,3.757044665,1.936363636,-0.002356241,0.290767011,1.714285714,0.012746114,0.509686394,569.4545455,7.301823282,195.1596083,522.8571429,6.226217617,197.1566566,61.99335548,0.22396867,3.575655676,70.7791343,-1.792311573,11.35764792,66.49069703,0.126462789,7.85014377,30.335,0.060857143,0.123085336,30.02875,0.056117647,0.285210449,29.9847541,-0.00461449,0.250689759,25.52333333,-0.117142857,0.235598529,25.238125,0.078191176,0.508517043,24.66622951,0.00902221,0.50057688,21.29833333,0.450571429,1.052072558,21.54375,0.035794118,0.989295204,21.34836066,0.019879429,1.239457113,9.4819266833,-0.1364994822,0.4786931829,8.7738153847,0.08205261450000002,0.7045648548,9.443367910600001,-0.0481606215,0.6061298105
1778,5.0,0.0,24.0,1.73,52.0,3.5,3.0,7.0,0.0,1.0,24.82666667,-0.012326087,0.278208555,24.82666667,-0.012326087,0.278208555,40.22222222,0.074637681,1.6414763,40.22222222,0.074637681,1.6414763,1.522222222,-0.009057971,0.263523138,1.522222222,-0.009057971,0.263523138,408.0,-1.089130435,177.0804902,408.0,-1.089130435,177.0804902,64.17607973,0.393575499,4.10983471,63.3418424,-0.026630179,3.999821282,63.15327381,0.036491942,4.093128709,29.97,-0.022285714,0.050199602,29.9925,7.53e-19,0.057445626,30.05928571,-0.004497608,0.137481994,24.13833333,-0.047714286,0.09968283,24.249375,-0.024044118,0.12255441,24.66946429,-0.016657895,0.321623267,18.61,0.006857143,0.061967734,18.59,0.003705882,0.053665631,20.07446429,-0.109664046,2.288900426,9.111670614500001,-0.13652697799999997,0.37962826990000004,8.101810164,0.3192530023,0.35679619650000005,9.5378050758,-0.0715824369,0.6702201148
1779,5.0,0.0,24.0,1.73,52.0,3.5,3.0,7.0,0.0,1.0,24.46333333,-0.010428571,0.087368949,24.46333333,-0.010428571,0.087368949,43.33333333,0.2,1.527525232,43.33333333,0.2,1.527525232,1.633333333,-0.035714286,0.288675135,1.633333333,-0.035714286,0.288675135,495.3333333,-2.457142857,18.7705443,495.3333333,-2.457142857,18.7705443,65.74418605,-3.789698797,9.324132239,73.17425083,-0.886513384,9.92328389,72.24901961,-0.317576803,9.73169987,30.865,-0.086571429,0.163309522,30.87625,0.028029412,0.399096897,30.81352941,0.044264706,0.464972327,24.76333333,-0.048571429,0.092879851,24.421875,0.076455882,0.413976147,24.38764706,0.075122549,0.424948959,19.495,-0.287714286,0.554716144,19.815625,-0.002161765,0.707106487,19.76176471,0.016151961,0.71976763,9.5604530916,-0.1364994822,0.5369095177000001,8.833230910200001,0.1190863249,0.5760934942,9.609859531100001,-0.027300310400000007,0.716652249
1780,5.0,0.0,24.0,1.73,52.0,3.5,3.0,7.0,0.0,1.0,24.46888889,-3.33e-05,0.113075688,24.46888889,-3.33e-05,0.113075688,45.55555556,0.033333333,0.527046277,45.55555556,0.033333333,0.527046277,0.822222222,-0.005,0.356292639,0.822222222,-0.005,0.356292639,403.0,-2.91,39.92179856,403.0,-2.91,39.92179856,66.77740864,-0.23038437,4.269649254,66.59156493,0.073319864,4.677933347,63.10104167,0.210604093,5.202868192,30.11666667,-0.013142857,0.049665548,30.1625,-0.008205882,0.06005553,30.301875,-0.011860074,0.195161213,23.81666667,-0.008,0.036147845,23.93875,-0.023647059,0.116783275,24.24270833,-0.01795647,0.255540642,19.235,0.047142857,0.102907726,19.041875,0.036455882,0.179340226,18.82229167,0.014451259,0.22182262,9.0379614353,-0.13652697799999997,0.2511569093,8.8947553548,0.3192530023,0.38895487959999997,9.579393459200002,-0.06329407969999999,0.7204860122000001
1781,5.0,0.0,24.0,1.73,52.0,3.5,3.0,7.0,0.0,1.0,24.612,-0.0134,0.1300769,24.612,-0.0134,0.1300769,45.8,0.02,0.447213595,45.8,0.02,0.447213595,0.8,-1.07e-13,0.223606798,0.8,-1.07e-13,0.223606798,275.2,-3.64,28.78714991,275.2,-3.64,28.78714991,65.6179402,0.84782293,4.727187315,70.62708102,-0.530378909,10.30585561,68.73655914,0.131370586,8.042603485,30.05,-0.008571429,0.024494897,30.01875,0.006264706,0.052392748,30.02354839,-0.000157258,0.048890925,23.045,0.078,0.150299701,23.11,-0.025735294,0.229056034,23.41032258,-0.034842742,0.356477993,20.53833333,-0.232285714,0.439427658,20.308125,0.066485294,0.548284826,19.74580645,0.063919355,0.707548699,9.5604530916,-0.1364994822,0.4786931829,8.872580306399998,0.11990666179999998,0.5760934942,9.5864209211,-0.045940395099999996,0.6891013736
1782,5.0,0.0,24.0,1.73,52.0,3.5,3.0,7.0,0.0,-1.0,24.18875,-0.002595238,0.064240063,24.18875,-0.002595238,0.064240063,47.75,0.085714286,1.752549164,47.75,0.085714286,1.752549164,0.35,-0.006666667,0.141421356,0.35,-0.006666667,0.141421356,142.25,-4.047619048,49.6120665,142.25,-4.047619048,49.6120665,90.52491694,-2.032456932,5.368008744,93.21975583,0.202005655,7.52995044,83.76324786,0.788332943,12.10011736,32.645,0.014571429,0.053944416,32.821875,-0.042691176,0.231206077,32.39205128,0.062870445,1.136034607,27.17833333,0.134571429,0.256703461,26.08875,0.213470588,1.021488293,24.67692308,0.118421053,1.408327029,23.66666667,-0.109714286,0.256177022,23.265,0.134970588,0.912812504,21.32666667,0.139172065,1.749989975,9.1780748668,0.0289987383,0.35354896929999996,9.436946936799998,-0.0019322430000000006,0.3043196512,8.833530655699999,0.014056931900000003,0.3490008607
1783,5.0,0.0,24.0,1.73,52.0,3.5,3.0,7.0,0.0,-1.0,23.622,-0.0292,0.233173755,23.622,-0.0292,0.233173755,48.8,0.1,0.836660027,48.8,0.1,0.836660027,0.0,0.0,0.0,0.0,0.0,0.0,28.6,-0.68,6.730527468,28.6,-0.68,6.730527468,104.6478405,1.527596753,4.071193023,103.3285239,0.395436458,4.967496455,99.45277778,0.755461157,7.269858545,32.625,0.253428571,0.477105858,32.49875,0.004382353,0.398126864,32.55916667,-0.008669565,0.33397366,29.02333333,0.029714286,0.058195074,28.805,0.044823529,0.216333077,28.46875,0.07376087,0.542115923,23.77166667,0.050571429,0.105908766,23.644375,0.036426471,0.212977894,23.44708333,0.041882609,0.353645354,9.606256646400002,0.055767449499999996,0.3669731998,9.390601227400001,0.0216564003,0.43792351369999993,9.275960759099998,0.0106048802,0.36343676690000004
1784,5.0,0.0,24.0,1.73,52.0,3.5,3.0,7.0,0.0,1.0,21.73272727,-0.059,0.982619875,21.73272727,-0.059,0.982619875,54.09090909,0.230909091,3.961175216,54.09090909,0.230909091,3.961175216,0.181818182,-0.003636364,0.208893187,0.181818182,-0.003636364,0.208893187,3.909090909,-0.309090909,6.106628292,3.909090909,-0.309090909,6.106628292,89.2358804,5.355921762,11.45725653,87.28301887,0.208717094,8.286300528,91.91279762,-0.295992694,10.19417741,32.36166667,-0.015714286,0.04833908,32.25125,0.015911765,0.111168041,32.57482143,-0.024331852,0.572379375,30.12833333,-0.022,0.075476266,30.126875,-0.001985294,0.049761933,29.82892857,0.022877649,0.453430073,24.355,0.006,0.064109282,24.03875,0.048676471,0.27082282,23.69071429,0.014634313,0.369696963,9.229912541600001,-0.21531991510000004,0.3115030698,9.103244309099999,-0.05380961489999999,0.23265798309999997,8.759877216300001,-0.009680219,0.33263580769999995
1785,5.0,0.0,24.0,1.73,52.0,3.5,3.0,7.0,0.0,-1.0,21.2,0.029615845,0.605174655,21.13307692,0.028586324,0.627646193,50.91666667,-0.222109627,4.679905464,51.61538462,-0.229113067,5.140338211,0.2,0.004200829,0.208893187,0.184615385,0.004495599,0.207549809,0.0,0.0,0.0,0.0,0.0,0.0,97.56478405,-0.995014411,5.122131261,93.20865705,0.841586707,6.496808466,92.65537351,-0.03473409,5.554674991,32.59166667,0.012857143,0.065853372,32.6975,-0.020941176,0.114105215,32.92262295,0.002340561,0.385728323,29.45,0.022285714,0.045166359,29.761875,-0.055838235,0.29696731,29.46229508,0.008443152,0.257322064,22.75833333,-0.887142857,1.69709654,23.846875,-0.200132353,1.311104973,24.28737705,-0.016771549,0.713474834,9.1933562663,-0.21531991509999998,0.4719507265000001,9.0969161625,-0.08170822450000001,0.6040001436,8.611242428699999,-0.014318831699999993,0.7131723110999999
